timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
607738989034264,0.0237633,0.443381,-0.202584,0.107742,8.93783,4.14928
607738993036930,0.0323154,0.454376,-0.206249,0.179571,8.89713,4.12773
607738997039596,0.0378132,0.454376,-0.223965,0.268159,8.8229,4.12055
607739001042262,0.0420892,0.43605,-0.23496,0.215485,8.83248,4.0966
607739005044962,0.0402566,0.411616,-0.239236,0.107742,8.83009,4.11815
607739009047628,0.0396458,0.37252,-0.245345,0.069434,8.80854,4.11336
607739013050328,0.0359806,0.349307,-0.247788,-0.0359141,8.81093,4.06787
607739017050794,0.0286502,0.329149,-0.250843,-0.095771,8.79657,4.03675
607739021053460,0.0286502,0.305936,-0.248399,-0.119714,8.77981,4.05351
607739025056160,0.0194872,0.299216,-0.244734,-0.134079,8.81811,4.07745
607739029064560,0.0133786,0.298606,-0.23496,-0.136474,8.84206,4.07266
607739033067260,0.0152112,0.304103,-0.222132,-0.186753,8.88276,4.07984
607739037069926,0.015822,0.310823,-0.193421,-0.270553,8.94262,4.16364
607739041072659,0.0152112,0.317542,-0.161045,-0.452518,9.04557,4.24744
607739045075325,0.0182655,0.32304,-0.122561,-0.629694,9.12458,4.21153
607739049077991,0.0213198,0.32976,-0.0736917,-0.799688,9.22993,4.16604
607739053080657,0.0213198,0.317542,-0.0370398,-0.972076,9.30176,4.15886
607739057083323,0.0182655,0.299216,0.000222966,-1.01757,9.30655,4.17083
607739061085956,0.015822,0.260732,0.0277119,-0.988836,9.29457,4.11815
607739065088656,0.00726991,0.183763,0.0655855,-0.917007,9.23951,4.03914
607739069091389,-0.00800172,0.11107,0.0808572,-0.833208,9.2012,3.96252
607739073094055,-0.0171647,0.0408205,0.0961288,-0.804476,9.18923,3.85957
607739077096721,-0.0397667,-0.0514202,0.108957,-0.742225,9.15331,3.71591
607739081099421,-0.0605361,-0.116783,0.12545,-0.646454,9.08148,3.52916
607739085102087,-0.0849707,-0.180313,0.127894,-0.557866,9.02402,3.46212
607739089111087,-0.117957,-0.268277,0.130337,-0.430969,9.00008,3.42621
607739093113787,-0.144225,-0.325699,0.127894,-0.339987,8.95219,3.39748
607739097116420,-0.171714,-0.370903,0.129116,-0.308861,8.95698,3.38072
607739101124253,-0.202257,-0.410609,0.130948,-0.299284,8.97374,3.37353
607739105126986,-0.234022,-0.449093,0.141333,-0.232245,8.98092,3.39748
607739109129652,-0.2609,-0.457035,0.148663,-0.181965,8.9905,3.38311
607739113132352,-0.28228,-0.455202,0.14622,-0.110137,8.95459,3.36874
607739117135052,-0.30305,-0.424048,0.144387,0.0119714,8.9091,3.37832
607739121137752,-0.330539,-0.388007,0.132781,0.143656,8.84685,3.5148
607739125140418,-0.334204,-0.332418,0.118731,0.272947,8.80854,3.62493
607739129143118,-0.349475,-0.268888,0.101016,0.373507,8.80375,3.70634
607739133145818,-0.359249,-0.180313,0.0869658,0.375901,8.78938,3.77098
607739137153151,-0.371467,-0.115561,0.0839115,0.320833,8.81572,3.84521
607739141155817,-0.38124,-0.0599723,0.0668073,0.232245,8.84445,3.88351
607739145158483,-0.392847,-0.000718378,0.0619204,0.165205,8.85642,3.92182
607739149157549,-0.405675,0.0432639,0.0521465,0.0981653,8.86839,3.92182
607739153160249,-0.406897,0.0640333,0.0497031,0.095771,8.866,3.97689
607739157162982,-0.418503,0.0780832,0.0350423,0.0837996,8.83487,4.01759
607739161165615,-0.414838,0.0756398,0.0301554,0.0646454,8.78699,4.02478
607739165168315,-0.409951,0.0707529,0.0264902,-0.0191542,8.77023,4.07745
607739169171015,-0.411173,0.060979,0.0179381,-0.0359141,8.73431,4.08942
607739173173715,-0.411173,0.0573138,0.00266643,0.0239427,8.68164,4.07984
607739177176381,-0.406286,0.0524269,-0.0119943,0.0742225,8.58348,4.06069
607739181179114,-0.401399,0.0548704,-0.00894001,0.0837996,8.50446,4.11576
607739185186514,-0.387349,0.0512052,-0.0260442,0.0933767,8.47094,4.17083
607739189189147,-0.373299,0.0524269,-0.0364289,0.114925,8.43024,4.21632
607739193191813,-0.364136,0.0591464,-0.0339855,0.112531,8.44221,4.2642
607739197194513,-0.354362,0.070142,-0.0333746,0.0837996,8.48052,4.31688
607739201197179,-0.340312,0.0786941,-0.027266,-0.026337,8.5308,4.348
607739205199912,-0.336647,0.0750289,-0.0156595,-0.138868,8.5739,4.36955
607739209202812,-0.32443,0.0652551,-0.000387899,-0.256187,8.64094,4.37434
607739213205445,-0.312213,0.0512052,0.013662,-0.342381,8.68643,4.36716
607739217208178,-0.309769,0.0414313,0.0387075,-0.399844,8.70558,4.36476
607739221211011,-0.296941,0.0365444,0.0484813,-0.356747,8.71756,4.38631
607739225213644,-0.287778,0.0334901,0.058866,-0.284919,8.69361,4.3911
607739229216344,-0.269452,0.0328792,0.0692507,-0.184359,8.66488,4.42701
607739233223844,-0.250515,0.0353227,0.0649747,-0.0430969,8.65291,4.47251
607739237226510,-0.229135,0.0371553,0.0606986,0.0239427,8.63136,4.53236
607739241229210,-0.201646,0.0377661,0.0570334,0.0837996,8.62897,4.54673
